file,group,sex
G7_EPM_147_T2DLC_resnet50_EPMMar18shuffle1_2915000,Ctrl,M
G7_EPM_148_T2DLC_resnet50_EPMMar18shuffle1_2915000,Ctrl,M
G7_EPM_151_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,M
G7_EPM_152_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,M
G7_EPM_153_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,M
G7_EPM_154_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,F
G7_EPM_155_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,F
G8_EPM_157_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,F
G8_EPM_158_T2DLC_resnet50_EPMMar18shuffle1_2915000,Ctrl,M
G8_EPM_159_T2DLC_resnet50_EPMMar18shuffle1_2915000,Ctrl,F
G8_EPM_164_T2DLC_resnet50_EPMMar18shuffle1_2915000,Ctrl,F
G8_EPM_166_T2DLC_resnet50_EPMMar18shuffle1_2915000,Ctrl,F
G8_EPM_167_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,M
G8_EPM_168_T2DLC_resnet50_EPMMar18shuffle1_2915000,Mor,F
